address,district,town,county,postcode,price,date,type,new build,new build,LR url,zoopla url,zoopla beds,zoopla baths,zoopla living,zoopla agent,rightmove url,rightmove beds
21 HIGHFIELDS,BISHOP AUCKLAND,COUNTY DURHAM,COUNTY DURHAM,DL13 4BA,75000,2018-06-20 00:00,T,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=59839100&sale=5322328&country=england,3
6 HEILD CLOSE,NEWTON AYCLIFFE,COUNTY DURHAM,COUNTY DURHAM,DL5 5PS,56000,2018-06-22 00:00,T,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=65301799&sale=7134016&country=england,2
4 EDEN VALE MEWS,CONSETT,COUNTY DURHAM,COUNTY DURHAM,DH8 7SG,115000,2018-06-21 00:00,D,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=36504103&sale=7132198&country=england,4
24 ARKLESS GROVE,CONSETT,COUNTY DURHAM,COUNTY DURHAM,DH8 8AB,82000,2018-06-01 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=72325076&sale=56085872&country=england,2
18 CATHERINE TERRACE,STANLEY,COUNTY DURHAM,COUNTY DURHAM,DH9 7TP,42500,2018-06-27 00:00,T,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=62888221&sale=7132318&country=england,2
