address,district,town,county,postcode,price,date,type,new build,new build,LR url,zoopla url,zoopla beds,zoopla baths,zoopla living,zoopla agent,rightmove url,rightmove beds
66 PRINCES ROAD,TORQUAY,TORBAY,TORBAY,TQ1 1NP,110000,2019-02-08 00:00,T,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=71642171&sale=8797921&country=england,3
HURFORDS STORES WHITFORD ROAD,AXMINSTER,EAST DEVON,DEVON,EX13 7RG,415000,2019-02-13 00:00,O,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=43587222&sale=5621797&country=england,4
CHAPEL VIEW SOMERVILLE ROAD,CULLOMPTON,MID DEVON,DEVON,EX15 2PP,285000,2019-02-15 00:00,O,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=69042638&sale=6391819&country=england,4
TREES COURT STUDIO VICTORIA ROAD,EXETER,EXETER,DEVON,EX3 0EU,239000,2019-02-15 00:00,O,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=53349865&sale=89253642&country=england,2
9 THE BUTTS,KINGSBRIDGE,SOUTH HAMS,DEVON,TQ7 4SL,77000,2019-02-18 00:00,O,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,,
