address,district,town,county,postcode,price,date,type,new build,new build,LR url,zoopla url,zoopla beds,zoopla baths,zoopla living,zoopla agent,rightmove url,rightmove beds
4 THE LANE,FERRYHILL,COUNTY DURHAM,COUNTY DURHAM,DL17 9LB,115000,2018-07-13 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=53096381&sale=4500406&country=england,4
14 HORTON CRESCENT,DURHAM,COUNTY DURHAM,COUNTY DURHAM,DH6 5EJ,93000,2018-07-06 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=50283514&sale=39501918&country=england,2
