address,district,town,county,postcode,price,date,type,new build,new build,LR url,zoopla url,zoopla beds,zoopla baths,zoopla living,zoopla agent,rightmove url,rightmove beds
44 RUPERT ROAD,DERBY,CITY OF DERBY,CITY OF DERBY,DE21 4ND,127000,2017-05-12 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=72537014&sale=8007589&country=england,3
47 WORKSOP ROAD,CHESTERFIELD,CHESTERFIELD,DERBYSHIRE,S43 3DH,117500,2017-05-23 00:00,T,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=71152721&sale=56205770&country=england,3
137 MORLEY ROAD,DERBY,CITY OF DERBY,CITY OF DERBY,DE21 4QY,205000,2017-05-08 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=49314798&sale=55501445&country=england,3
21 QUEENS DRIVE,SWADLINCOTE,SOUTH DERBYSHIRE,DERBYSHIRE,DE11 0EG,135000,2017-05-26 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=74641418&sale=56081003&country=england,2
2 MEADOW VIEW,CHESTERFIELD,NORTH EAST DERBYSHIRE,DERBYSHIRE,S42 5UL,155000,2017-05-17 00:00,D,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=26413916&sale=8478409&country=england,2
27 MOORWAY LANE,DERBY,CITY OF DERBY,CITY OF DERBY,DE23 2FR,275000,2017-05-24 00:00,D,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=54144039&sale=7417018&country=england,4
16 HEATHFIELD AVENUE,ILKESTON,EREWASH,DERBYSHIRE,DE7 5EH,130000,2017-05-26 00:00,S,N,A,https://www.zoopla.co.uk/property/37-talbot-road/hatfield/al10-0ra/315623,3,1,2,Kings Estate Agents,https://www.rightmove.co.uk/house-prices/detailMatching.html?prop=35413331&sale=8896810&country=england,3
